timestamps,open,high,low,close,volume,amount,$factor
2010-04-29,2.2212656,2.2665086,2.2212656,2.2495842,266526.38,599573.5,0.1294476
2010-04-30,2.2023435,2.2023435,2.1406786,2.1621273,661012.25,1429192.6,0.12944798
2010-05-04,2.144662,2.1709695,2.1262295,2.1555533,185212.42,399235.25,0.12944682
2010-05-05,2.1415212,2.1991646,2.133143,2.1916244,261408.03,572908.25,0.12944813
2010-05-06,2.1951466,2.1951466,2.1331463,2.133984,218159.34,465548.56,0.12944824
2010-05-07,2.1113553,2.1845822,2.1029768,2.17855,241446.42,526003.1,0.12944801
2010-05-10,2.2118628,2.278889,2.2118628,2.2376678,511348.75,1144228.6,0.12944704
2010-05-11,2.2720022,2.2788723,2.2257545,2.2396622,259816.92,581902.1,0.12944657
2010-05-12,2.2335272,2.2454247,2.178397,2.231684,167195.44,373127.38,0.12944844
2010-05-13,2.2324698,2.2738585,2.2324698,2.2599506,208962.38,472244.66,0.12944694
2010-05-14,2.2601316,2.2807422,2.2453856,2.2613046,140027.3,316644.38,0.12944733
2010-05-17,2.2571123,2.2571123,2.1716537,2.1750047,136299.48,296452.03,0.12944724
2010-05-18,2.178381,2.194635,2.1143699,2.1802242,201142.36,438535.44,0.12944797
2010-05-19,2.1867485,2.1984785,2.145192,2.1755216,83423.45,181489.53,0.12944765
2010-05-20,2.169132,2.2341473,2.1617594,2.203148,175673.84,387035.47,0.129447
2010-05-21,2.168343,2.255479,2.1527593,2.248944,211214.42,475009.4,0.12944846
2010-05-24,2.2619467,2.2872488,2.2503848,2.278368,230083.2,524214.22,0.12944652
2010-05-25,2.272173,2.272173,2.1909041,2.1992824,170346.39,374639.8,0.12944666
2010-05-26,2.2035058,2.2229435,2.1810517,2.2108788,85171.95,188304.88,0.12944767
2010-05-31,2.2369905,2.2658117,2.209845,2.209845,181927.05,402030.6,0.12944683
2010-06-01,2.2076566,2.23631,2.186711,2.2224023,181739.66,403898.62,0.12944654
2010-06-02,2.2212956,2.2521284,2.2060468,2.2481067,169097.7,380149.7,0.12944847
2010-06-03,2.2619884,2.287291,2.2353454,2.2626586,192737.44,436099.03,0.12944771
2010-06-04,2.2609847,2.3191304,2.2489197,2.3144383,232035.14,537031.0,0.12944776
2010-06-07,2.2956748,2.3839827,2.278918,2.363707,294520.66,696160.56,0.12944786
2010-06-08,2.363676,2.3774164,2.3291576,2.3479247,111202.1,261094.16,0.12944701
2010-06-09,2.3495831,2.3894634,2.3472373,2.369691,139470.17,330501.2,0.12944654
2010-06-10,2.3693712,2.3894792,2.354793,2.3685331,91012.336,215565.73,0.12944695
2010-06-11,2.3722115,2.387795,2.3217745,2.324288,151203.12,351439.6,0.12944673
2010-06-17,2.3325143,2.3373735,2.2840877,2.2869363,96747.664,221255.75,0.12944716
2010-06-18,2.2790592,2.2922966,2.1952763,2.216222,155293.45,344164.78,0.12944712
2010-06-21,2.2185533,2.2537417,2.1984456,2.2527366,146423.28,329853.1,0.12944669
2010-06-22,2.232994,2.2443888,2.2018268,2.2150645,160521.36,355565.16,0.12944756
2010-06-23,2.2118435,2.2265892,2.2021248,2.2068167,98981.14,218433.23,0.12944648
2010-06-24,2.210344,2.2197278,2.1729772,2.1778367,188062.16,409568.66,0.12944673
2010-06-25,2.1749804,2.1950881,2.1587267,2.187045,146866.45,321203.56,0.1294465
2010-06-28,2.1816876,2.1820226,2.1416397,2.144991,114464.0,245524.23,0.12944664
2010-06-29,2.1534224,2.1681683,2.1031516,2.115887,214623.7,454119.5,0.12944824
2010-06-30,2.111319,2.1364536,2.1054542,2.1341076,137694.45,293854.78,0.1294469
2010-07-01,2.1423523,2.1423523,2.1197307,2.1284444,57549.707,122491.35,0.12944792
2010-07-02,2.1205885,2.1633186,2.1205885,2.1395237,127098.39,271930.03,0.12944853
2010-07-05,2.1595178,2.1646392,2.1263995,2.1477387,107462.48,230801.31,0.13065714
2010-07-06,2.149244,2.1878247,2.1338801,2.1782649,117150.44,255184.69,0.1306562
2010-07-07,2.178269,2.1936326,2.1594906,2.173489,67262.58,146194.48,0.13065632
2010-07-08,2.1699417,2.193671,2.1699417,2.190598,65181.207,142785.83,0.13065745
2010-07-09,2.1950586,2.2568576,2.1802063,2.237396,209543.16,468831.03,0.1306581
2010-07-12,2.2329257,2.275604,2.228658,2.2313893,136496.6,304577.03,0.13065718
2010-07-13,2.2318869,2.2318869,2.193818,2.2115722,56936.285,125918.7,0.13065675
2010-07-14,2.2090487,2.2390945,2.2027323,2.2233887,73800.85,164087.98,0.13065785
2010-07-15,2.2277882,2.2738805,2.2252276,2.2504928,144143.62,324394.2,0.1306567
2010-07-16,2.2346396,2.293365,2.2291768,2.2843173,252182.56,576065.0,0.13065737
2010-07-19,2.2713194,2.3250933,2.2689295,2.318265,148575.02,344436.25,0.13065669
2010-07-20,2.3213537,2.3437169,2.299161,2.3304014,205776.67,479542.25,0.13065714
2010-07-21,2.3303764,2.3967829,2.3303764,2.3537636,186466.3,438897.6,0.13065644
2010-07-22,2.3694572,2.3694572,2.3353152,2.3551176,124155.39,292400.53,0.13065611
2010-07-23,2.3589218,2.4074044,2.3589218,2.4021122,294403.4,707190.0,0.13065745
2010-07-26,2.4021034,2.4374413,2.3942506,2.4063714,168508.95,405495.12,0.13065721
2010-07-27,2.3916852,2.4271936,2.3916852,2.4241207,193093.56,468082.1,0.13065708
2010-07-28,2.4343917,2.4417324,2.415613,2.440196,212312.95,518085.22,0.13065784
