timestamps,open,high,low,close,volume,amount,pred_close,pred_high,pred_low,pred_open
2025-09-24,78.26067,79.500015,78.26067,78.69343,131603.28,10356313.0,77.01231,78.54007,75.49243,77.21126
2025-09-25,78.738785,78.86866,78.36605,78.52977,144985.62,11385688.0,77.81967,78.553,77.00418,77.60696
2025-09-26,78.64872,78.972336,77.93001,78.31146,193147.55,15125667.0,78.72267,79.43239,77.841515,78.27068
2025-09-29,78.55048,80.22095,78.31146,79.7227,229804.44,18320630.0,79.44772,79.952194,78.57611,78.99085
2025-09-30,79.67579,79.717255,78.584335,78.802086,168503.25,13278408.0,78.89218,79.60943,78.148026,78.831276
2025-10-09,78.36601,78.55046,77.49285,78.40858,235087.22,18432854.0,78.124886,78.78426,77.4441,78.05886
2025-10-10,78.4534,78.58111,77.90222,78.03865,154110.78,12026597.0,79.147484,79.73312,78.36387,78.83288
2025-10-13,77.258286,77.648476,77.22663,77.44929,197205.94,15273459.0,79.29513,79.77416,78.84254,79.23002
2025-10-14,78.03803,79.89404,78.03803,79.18569,285403.28,22599856.0,78.61653,79.769714,78.37821,79.46088
2025-10-15,79.183556,79.83952,78.86159,79.78495,183150.8,14612677.0,78.89268,78.92584,76.526886,77.39271
2025-10-16,79.780556,81.03736,79.614655,81.03518,195756.36,15863152.0,79.78029,80.9854,78.593094,79.121925
2025-10-17,80.93647,81.20388,79.35005,79.402985,163033.62,12945356.0,78.78926,79.98668,78.30366,79.51609
2025-10-20,79.40295,80.19425,79.3964,79.56284,111083.24,8838099.0,78.51797,79.661896,78.35597,79.26341
2025-10-21,79.62124,80.21826,79.43024,79.79915,108912.03,8691087.0,77.924675,78.208565,74.83194,77.041435
2025-10-22,79.78925,79.98844,79.45746,79.604805,77886.734,6200158.5,78.23019,79.05845,76.66318,77.3102
2025-10-23,79.40291,80.156006,78.97724,80.11126,125519.75,10055545.0,76.98815,77.18252,77.108406,77.1491
2025-10-24,80.10961,80.70609,79.094025,79.13004,163632.75,12948267.0,78.47891,79.09393,76.89132,77.11518
2025-10-27,78.58435,79.26596,78.36552,78.60672,158823.62,12484604.0,78.73289,80.78685,77.83883,78.48281
